Time,Total energy,Position,Velocity
131,1.000000,0.9828880,-0.2605038
132,1.000000,0.9826265,-0.2624693
133,1.000000,0.9823631,-0.2644343
134,1.000000,0.9820977,-0.2663988
135,1.000000,0.9818303,-0.2683627
136,1.000000,0.9815609,-0.2703261
137,1.000000,0.9812896,-0.2722889
138,1.000000,0.9810164,-0.2742512
139,1.000000,0.9807411,-0.2762130
140,1.000000,0.9804639,-0.2781742
141,1.000000,0.9801848,-0.2801349
142,1.000000,0.9799037,-0.2820949
143,1.000000,0.9796206,-0.2840545
144,1.000000,0.9793356,-0.2860134
145,1.000000,0.9790486,-0.2879718
146,1.000000,0.9787596,-0.2899296
147,1.000000,0.9784687,-0.2918868
148,1.000000,0.9781758,-0.2938435
149,1.000000,0.9778810,-0.2957995
150,1.000000,0.9775842,-0.2977550
151,1.000000,0.9772855,-0.2997099
152,1.000000,0.9769848,-0.3016641
153,1.000000,0.9766822,-0.3036178
154,1.000000,0.9763776,-0.3055709
155,1.000000,0.9760710,-0.3075233
156,1.000000,0.9757625,-0.3094752
157,1.000000,0.9754521,-0.3114264
158,1.000000,0.9751397,-0.3133770
159,1.000000,0.9748253,-0.3153269
160,1.000000,0.9745090,-0.3172763
161,1.000000,0.9741908,-0.3192250
162,1.000000,0.9738706,-0.3211730
163,1.000000,0.9735484,-0.3231204
164,1.000000,0.9732243,-0.3250672
165,1.000000,0.9728983,-0.3270133
166,1.000000,0.9725703,-0.3289588
167,1.000000,0.9722404,-0.3309036
168,1.000000,0.9719085,-0.3328478
169,1.000000,0.9715747,-0.3347912
170,1.000000,0.9712389,-0.3367341
171,1.000000,0.9709012,-0.3386762
172,1.000000,0.9705616,-0.3406177
173,1.000000,0.9702200,-0.3425584
174,1.000000,0.9698765,-0.3444985
175,1.000000,0.9695310,-0.3464380
176,1.000000,0.9691836,-0.3483767
177,1.000000,0.9688342,-0.3503147
178,1.000000,0.9684830,-0.3522520
179,1.000000,0.9681297,-0.3541886
180,1.000000,0.9677746,-0.3561245
181,1.000000,0.9674175,-0.3580597
182,1.000000,0.9670585,-0.3599942
183,1.000000,0.9666975,-0.3619279
184,1.000000,0.9663346,-0.3638610
185,1.000000,0.9659698,-0.3657933
186,1.000000,0.9656030,-0.3677249
187,1.000000,0.9652343,-0.3696557
188,1.000000,0.9648637,-0.3715858
189,1.000000,0.9644912,-0.3735151
190,1.000000,0.9641167,-0.3754437
191,1.000000,0.9637403,-0.3773716
192,1.000000,0.9633619,-0.3792987
193,1.000000,0.9629817,-0.3812251
194,1.000000,0.9625995,-0.3831506
195,1.000000,0.9622154,-0.3850754
196,1.000000,0.9618293,-0.3869995
197,1.000000,0.9614414,-0.3889228
198,1.000000,0.9610515,-0.3908453
199,1.000000,0.9606597,-0.3927670
200,1.000000,0.9602659,-0.3946879
201,1.000000,0.9598703,-0.3966080
202,1.000000,0.9594727,-0.3985274
203,1.000000,0.9590732,-0.4004459
204,1.000000,0.9586718,-0.4023637
205,1.000000,0.9582685,-0.4042806
206,1.000000,0.9578633,-0.4061967
207,1.000000,0.9574561,-0.4081121
208,1.000000,0.9570471,-0.4100266
209,1.000000,0.9566361,-0.4119402
210,1.000000,0.9562232,-0.4138531
211,1.000000,0.9558084,-0.4157651
212,1.000000,0.9553916,-0.4176763
213,1.000000,0.9549730,-0.4195867
214,1.000000,0.9545525,-0.4214962
215,1.000000,0.9541300,-0.4234049
216,1.000000,0.9537057,-0.4253127
217,1.000000,0.9532794,-0.4272197
218,1.000000,0.9528512,-0.4291259
219,1.000000,0.9524211,-0.4310311
220,1.000000,0.9519892,-0.4329355
221,1.000000,0.9515553,-0.4348391
222,1.000000,0.9511195,-0.4367418
223,1.000000,0.9506818,-0.4386436
224,1.000000,0.9502422,-0.4405445
225,1.000000,0.9498007,-0.4424445
226,1.000000,0.9493573,-0.4443437
227,1.000000,0.9489120,-0.4462420
228,0.9999999,0.9484648,-0.4481393
229,0.9999999,0.9480157,-0.4500358
230,0.9999999,0.9475648,-0.4519314
231,0.9999999,0.9471119,-0.4538261
232,0.9999999,0.9466571,-0.4557198
233,0.9999999,0.9462004,-0.4576127
234,0.9999999,0.9457419,-0.4595046
235,0.9999999,0.9452814,-0.4613957
236,0.9999999,0.9448191,-0.4632858
237,0.9999999,0.9443549,-0.4651749
238,0.9999999,0.9438887,-0.4670632
239,0.9999999,0.9434207,-0.4689505
240,0.9999999,0.9429508,-0.4708369
241,0.9999999,0.9424791,-0.4727223
242,0.9999999,0.9420054,-0.4746068
243,0.9999999,0.9415298,-0.4764903
244,0.9999999,0.9410524,-0.4783729
245,0.9999999,0.9405731,-0.4802545
246,0.9999999,0.9400919,-0.4821352
247,0.9999999,0.9396088,-0.4840149
248,0.9999999,0.9391239,-0.4858936
249,0.9999999,0.9386370,-0.4877714
250,0.9999999,0.9381483,-0.4896482
251,0.9999999,0.9376577,-0.4915240
252,0.9999999,0.9371653,-0.4933988
253,0.9999999,0.9366709,-0.4952726
254,0.9999999,0.9361747,-0.4971455
255,0.9999999,0.9356767,-0.4990173
256,0.9999999,0.9351767,-0.5008882
257,0.9999999,0.9346749,-0.5027580
258,0.9999999,0.9341712,-0.5046269
259,0.9999999,0.9336656,-0.5064947
260,0.9999999,0.9331582,-0.5083615
261,0.9999999,0.9326489,-0.5102273
262,0.9999999,0.9321377,-0.5120921
263,0.9999999,0.9316247,-0.5139559
264,0.9999999,0.9311098,-0.5158186
265,0.9999999,0.9305931,-0.5176803
266,0.9999999,0.9300745,-0.5195410
267,0.9999999,0.9295540,-0.5214006
268,0.9999999,0.9290317,-0.5232592
269,0.9999999,0.9285075,-0.5251167
270,0.9999999,0.9279814,-0.5269732
271,0.9999999,0.9274535,-0.5288287
272,0.9999999,0.9269238,-0.5306831
273,0.9999999,0.9263922,-0.5325364
274,0.9999999,0.9258587,-0.5343886
275,0.9999999,0.9253234,-0.5362398
276,0.9999999,0.9247862,-0.5380899
277,0.9999999,0.9242472,-0.5399389
278,0.9999999,0.9237063,-0.5417869
279,0.9999999,0.9231636,-0.5436338
280,0.9999999,0.9226191,-0.5454795
281,0.9999999,0.9220727,-0.5473242
282,0.9999999,0.9215244,-0.5491678
283,0.9999999,0.9209743,-0.5510103
284,0.9999999,0.9204224,-0.5528517
285,0.9999999,0.9198686,-0.5546920
286,0.9999999,0.9193130,-0.5565312
287,0.9999999,0.9187556,-0.5583693
