   65.1577200000000        21.7192400000000     21.7192400000000     
        1536
  0.00000E+00  0.00000E+00  0.00000E+00  0.68724E-01 -0.78598E-01  0.38117E-02
  0.27149E+01  0.27149E+01  0.00000E+00  0.51212E-01  0.41934E-01 -0.82184E-01
  0.27149E+01  0.00000E+00  0.27149E+01 -0.24968E-01  0.34137E-01  0.15667E-01
  0.00000E+00  0.27149E+01  0.27149E+01  0.93248E-01 -0.15287E+00 -0.10308E-01
  0.13575E+01  0.13575E+01  0.13575E+01  0.96832E-01  0.66761E-02 -0.76894E-01
  0.40724E+01  0.40724E+01  0.13575E+01  0.68639E-01 -0.29990E-01 -0.59910E-01
  0.40724E+01  0.13575E+01  0.40724E+01  0.21707E-01 -0.57101E-01  0.11251E+00
  0.13575E+01  0.40724E+01  0.40724E+01 -0.78373E-01  0.77776E-01  0.88737E-01
  0.54298E+01  0.00000E+00  0.00000E+00 -0.37598E-01  0.72121E-01 -0.40672E-01
  0.81447E+01  0.27149E+01  0.00000E+00  0.35450E-01  0.54892E-02 -0.11836E+00
  0.81447E+01  0.00000E+00  0.27149E+01 -0.25293E-02 -0.59286E-01 -0.91419E-02
  0.54298E+01  0.27149E+01  0.27149E+01 -0.45186E-01 -0.14372E+00  0.19266E-01
  0.67873E+01  0.13575E+01  0.13575E+01 -0.34364E-02  0.90226E-02 -0.13609E+00
  0.95022E+01  0.40724E+01  0.13575E+01  0.35515E-01  0.40552E-01 -0.56224E-01
  0.95022E+01  0.13575E+01  0.40724E+01  0.16261E-03 -0.57717E-02 -0.21977E-01
  0.67873E+01  0.40724E+01  0.40724E+01 -0.72383E-01 -0.53909E-01  0.33005E-01
  0.10860E+02  0.00000E+00  0.00000E+00  0.15657E-01  0.76794E-01  0.38749E-02
  0.13575E+02  0.27149E+01  0.00000E+00  0.65270E-01 -0.54974E-01 -0.82147E-01
  0.13575E+02  0.00000E+00  0.27149E+01 -0.89921E-01 -0.33557E-01 -0.10432E+00
  0.10860E+02  0.27149E+01  0.27149E+01  0.16227E-01  0.12380E+00  0.15398E+00
