Size of array,Matrix Time
300,0.1570000E-3
301,0.1580000E-3
302,0.1590000E-3
303,0.1600000E-3
304,0.1610000E-3
305,0.1620000E-3
306,0.1620000E-3
307,0.1620000E-3
308,0.1620000E-3
309,0.1620000E-3
310,0.1630000E-3
311,0.1640000E-3
312,0.1650000E-3
313,0.1660000E-3
314,0.1670000E-3
315,0.1680000E-3
316,0.1680000E-3
317,0.1680000E-3
318,0.1680000E-3
319,0.1680000E-3
320,0.1690000E-3
321,0.1700000E-3
322,0.1710000E-3
323,0.1720000E-3
324,0.1730000E-3
325,0.1740000E-3
326,0.1740000E-3
327,0.1740000E-3
328,0.1740000E-3
329,0.1740000E-3
330,0.1750000E-3
331,0.1760000E-3
332,0.1770000E-3
333,0.1780000E-3
334,0.1790000E-3
335,0.1800000E-3
336,0.1810000E-3
337,0.1810000E-3
338,0.1810000E-3
339,0.1810000E-3
340,0.1810000E-3
341,0.1810000E-3
342,0.1820000E-3
343,0.1830000E-3
344,0.1840000E-3
345,0.1850000E-3
346,0.1850000E-3
347,0.1850000E-3
348,0.1850000E-3
349,0.1850000E-3
350,0.1850000E-3
351,0.1850000E-3
352,0.1860000E-3
353,0.1870000E-3
354,0.1880000E-3
355,0.1890000E-3
356,0.1900000E-3
357,0.1910000E-3
358,0.1910000E-3
359,0.1910000E-3
360,0.1910000E-3
361,0.1910000E-3
362,0.1920000E-3
363,0.1930000E-3
364,0.1940000E-3
365,0.1950000E-3
366,0.1960000E-3
367,0.1960000E-3
368,0.1960000E-3
369,0.1960000E-3
370,0.1960000E-3
371,0.1970000E-3
372,0.1980000E-3
373,0.1990000E-3
374,0.2000000E-3
375,0.2010000E-3
376,0.2020000E-3
377,0.2030000E-3
378,0.2030000E-3
379,0.2030000E-3
380,0.2030000E-3
381,0.2030000E-3
382,0.2030000E-3
383,0.2040000E-3
384,0.2050000E-3
385,0.2060000E-3
386,0.2070000E-3
387,0.2070000E-3
388,0.2070000E-3
389,0.2070000E-3
390,0.2070000E-3
391,0.2070000E-3
392,0.2070000E-3
393,0.2080000E-3
394,0.2090000E-3
395,0.2100000E-3
396,0.2110000E-3
397,0.2120000E-3
398,0.2130000E-3
399,0.2130000E-3
400,0.2130000E-3
401,0.2130000E-3
402,0.2130000E-3
403,0.2140000E-3
404,0.2150000E-3
405,0.2160000E-3
406,0.2170000E-3
407,0.2180000E-3
408,0.2180000E-3
409,0.2180000E-3
410,0.2180000E-3
411,0.2180000E-3
412,0.2180000E-3
413,0.2190000E-3
414,0.2200000E-3
415,0.2210000E-3
416,0.2220000E-3
417,0.2220000E-3
418,0.2220000E-3
419,0.2220000E-3
420,0.2230000E-3
421,0.2240000E-3
422,0.2250000E-3
423,0.2250000E-3
424,0.2250000E-3
425,0.2250000E-3
426,0.2250000E-3
427,0.2260000E-3
428,0.2270000E-3
429,0.2280000E-3
430,0.2290000E-3
431,0.2290000E-3
432,0.2290000E-3
433,0.2290000E-3
434,0.2290000E-3
435,0.2300000E-3
436,0.2310000E-3
437,0.2320000E-3
438,0.2330000E-3
439,0.2330000E-3
440,0.2330000E-3
441,0.2330000E-3
442,0.2330000E-3
