Size of array,Matrix Time
264,0.3146000E-2
265,0.3151000E-2
266,0.3154000E-2
267,0.3168000E-2
268,0.3171000E-2
269,0.3174000E-2
270,0.3187000E-2
271,0.3191000E-2
272,0.3205000E-2
273,0.3217000E-2
274,0.3220000E-2
275,0.3223000E-2
276,0.3235000E-2
277,0.3249000E-2
278,0.3261000E-2
279,0.3275000E-2
280,0.3278000E-2
281,0.3281000E-2
282,0.3286000E-2
283,0.3289000E-2
284,0.3300000E-2
285,0.3303000E-2
286,0.3316000E-2
287,0.3328000E-2
288,0.3342000E-2
289,0.3345000E-2
290,0.3348000E-2
291,0.3351000E-2
292,0.3365000E-2
293,0.3379000E-2
294,0.3393000E-2
295,0.3396000E-2
296,0.3399000E-2
297,0.3403000E-2
298,0.3406000E-2
299,0.3418000E-2
300,0.3421000E-2
301,0.3436000E-2
302,0.3439000E-2
303,0.3453000E-2
304,0.3467000E-2
305,0.3470000E-2
306,0.3484000E-2
307,0.3488000E-2
308,0.3499000E-2
309,0.3513000E-2
310,0.3524000E-2
311,0.3529000E-2
312,0.3542000E-2
313,0.3553000E-2
314,0.3556000E-2
315,0.3559000E-2
316,0.3574000E-2
317,0.3588000E-2
318,0.3602000E-2
319,0.3616000E-2
320,0.3630000E-2
321,0.3634000E-2
322,0.3638000E-2
323,0.3652000E-2
324,0.3655000E-2
325,0.3669000E-2
326,0.3682000E-2
327,0.3697000E-2
328,0.3711000E-2
329,0.3714000E-2
330,0.3717000E-2
331,0.3720000E-2
332,0.3733000E-2
333,0.3736000E-2
334,0.3739000E-2
335,0.3751000E-2
336,0.3763000E-2
337,0.3775000E-2
338,0.3788000E-2
339,0.3792000E-2
340,0.3795000E-2
341,0.3808000E-2
342,0.3822000E-2
343,0.3834000E-2
344,0.3837000E-2
345,0.3840000E-2
346,0.3843000E-2
347,0.3849000E-2
348,0.3852000E-2
349,0.3866000E-2
350,0.3869000E-2
351,0.3881000E-2
352,0.3885000E-2
353,0.3888000E-2
354,0.3893000E-2
355,0.3896000E-2
356,0.3910000E-2
357,0.3913000E-2
358,0.3916000E-2
359,0.3919000E-2
360,0.3923000E-2
361,0.3935000E-2
362,0.3938000E-2
363,0.3952000E-2
364,0.3965000E-2
365,0.3968000E-2
366,0.3972000E-2
367,0.3975000E-2
368,0.3978000E-2
369,0.3981000E-2
370,0.3994000E-2
371,0.3998000E-2
372,0.4001000E-2
373,0.4004000E-2
374,0.4017000E-2
375,0.4032000E-2
376,0.4047000E-2
377,0.4051000E-2
378,0.4065000E-2
379,0.4079000E-2
380,0.4094000E-2
381,0.4098000E-2
382,0.4111000E-2
383,0.4125000E-2
384,0.4139000E-2
385,0.4143000E-2
386,0.4146000E-2
387,0.4160000E-2
388,0.4163000E-2
389,0.4175000E-2
390,0.4189000E-2
391,0.4192000E-2
392,0.4195000E-2
393,0.4209000E-2
394,0.4223000E-2
395,0.4235000E-2
396,0.4249000E-2
397,0.4253000E-2
398,0.4256000E-2
399,0.4270000E-2
400,0.4274000E-2
401,0.4287000E-2
402,0.4302000E-2
403,0.4316000E-2
404,0.4330000E-2
405,0.4334000E-2
406,0.4346000E-2
407,0.4360000E-2
408,0.4364000E-2
409,0.4376000E-2
410,0.4380000E-2
411,0.4383000E-2
412,0.4397000E-2
413,0.4410000E-2
414,0.4422000E-2
415,0.4436000E-2
416,0.4440000E-2
417,0.4443000E-2
418,0.4447000E-2
419,0.4460000E-2
420,0.4464000E-2
421,0.4477000E-2
422,0.4481000E-2
423,0.4495000E-2
424,0.4509000E-2
425,0.4513000E-2
426,0.4517000E-2
427,0.4531000E-2
428,0.4546000E-2
429,0.4560000E-2
430,0.4575000E-2
