initM,initL,Matrix Time,Count
1300,700,0.1252000E-2,11448
1400,700,0.1287000E-2,11448
1500,700,0.1318000E-2,11448
1600,700,0.1408000E-2,11448
1700,700,0.1407000E-2,11448
1800,700,0.1471000E-2,11448
1900,700,0.1827000E-2,11448
2000,700,0.1654000E-2,11448
2100,700,0.1712000E-2,11448
20,800,0.3040000E-3,10889
30,800,0.3270000E-3,10869
40,800,0.3380000E-3,10928
50,800,0.3140000E-3,10943
60,800,0.3350000E-3,10878
70,800,0.3460000E-3,10912
80,800,0.3840000E-3,10938
90,800,0.3780000E-3,10931
100,800,0.3920000E-3,10946
200,800,0.4960000E-3,10998
300,800,0.5990000E-3,11024
400,800,0.7030000E-3,11094
500,800,0.7790000E-3,11081
600,800,0.8790000E-3,11278
700,800,0.9670000E-3,11363
800,800,0.1059000E-2,11403
900,800,0.1143000E-2,11391
1000,800,0.1249000E-2,11449
1100,800,0.1276000E-2,11448
1200,800,0.1301000E-2,11448
1300,800,0.1372000E-2,11448
1400,800,0.1342000E-2,11448
1500,800,0.1339000E-2,11448
1600,800,0.1402000E-2,11448
1700,800,0.1455000E-2,11448
1800,800,0.1464000E-2,11448
1900,800,0.2198000E-2,11448
2000,800,0.1900000E-2,11448
2100,800,0.1756000E-2,11448
20,900,0.3140000E-3,10889
30,900,0.3250000E-3,10869
40,900,0.3650000E-3,10928
50,900,0.3510000E-3,10943
60,900,0.3720000E-3,10878
70,900,0.3670000E-3,10912
80,900,0.3960000E-3,10938
90,900,0.4040000E-3,10931
100,900,0.3900000E-3,10946
200,900,0.5200000E-3,10998
300,900,0.6220000E-3,11024
400,900,0.6940000E-3,11094
500,900,0.8060000E-3,11081
600,900,0.8750000E-3,11278
700,900,0.9810000E-3,11363
800,900,0.1062000E-2,11403
900,900,0.1162000E-2,11391
1000,900,0.1260000E-2,11449
1100,900,0.1289000E-2,11448
1200,900,0.1294000E-2,11448
1300,900,0.1367000E-2,11448
1400,900,0.1350000E-2,11448
1500,900,0.1394000E-2,11448
1600,900,0.1405000E-2,11448
1700,900,0.1518000E-2,11448
1800,900,0.1535000E-2,11448
1900,900,0.2256000E-2,11448
2000,900,0.1982000E-2,11448
2100,900,0.1975000E-2,11448
20,1000,0.3160000E-3,10889
30,1000,0.3030000E-3,10869
40,1000,0.3380000E-3,10928
50,1000,0.3040000E-3,10943
60,1000,0.4450000E-3,10878
70,1000,0.3510000E-3,10912
80,1000,0.3690000E-3,10938
90,1000,0.4000000E-3,10931
100,1000,0.3980000E-3,10946
200,1000,0.5070000E-3,10998
300,1000,0.6170000E-3,11024
400,1000,0.7230000E-3,11094
500,1000,0.8080000E-3,11081
600,1000,0.9040000E-3,11278
700,1000,0.1051000E-2,11363
800,1000,0.1102000E-2,11403
900,1000,0.1180000E-2,11391
1000,1000,0.1309000E-2,11449
1100,1000,0.1337000E-2,11448
1200,1000,0.1374000E-2,11448
1300,1000,0.1812000E-2,11448
1400,1000,0.1470000E-2,11448
1500,1000,0.1410000E-2,11448
1600,1000,0.1429000E-2,11448
1700,1000,0.1622000E-2,11448
1800,1000,0.1596000E-2,11448
1900,1000,0.2241000E-2,11448
2000,1000,0.2010000E-2,11448
2100,1000,0.2107000E-2,11448
20,1100,0.3810000E-3,10889
30,1100,0.4060000E-3,10869
40,1100,0.4010000E-3,10928
50,1100,0.3620000E-3,10943
60,1100,0.3790000E-3,10878
70,1100,0.3480000E-3,10912
80,1100,0.3830000E-3,10938
90,1100,0.3870000E-3,10931
100,1100,0.3960000E-3,10946
200,1100,0.5250000E-3,10998
300,1100,0.6170000E-3,11024
400,1100,0.7190000E-3,11094
500,1100,0.8150000E-3,11081
600,1100,0.9140000E-3,11278
700,1100,0.1001000E-2,11363
800,1100,0.1142000E-2,11403
900,1100,0.1232000E-2,11391
1000,1100,0.1336000E-2,11449
1100,1100,0.1382000E-2,11448
1200,1100,0.1373000E-2,11448
1300,1100,0.1432000E-2,11448
1400,1100,0.1423000E-2,11448
1500,1100,0.1599000E-2,11448
1600,1100,0.1522000E-2,11448
1700,1100,0.1567000E-2,11448
1800,1100,0.1639000E-2,11448
1900,1100,0.1726000E-2,11448
2000,1100,0.2820000E-2,11448
2100,1100,0.2318000E-2,11448
20,1200,0.3320000E-3,10889
30,1200,0.3290000E-3,10869
40,1200,0.3460000E-3,10928
50,1200,0.3750000E-3,10943
60,1200,0.3690000E-3,10878
70,1200,0.3770000E-3,10912
80,1200,0.3800000E-3,10938
90,1200,0.3930000E-3,10931
100,1200,0.4050000E-3,10946
200,1200,0.5500000E-3,10998
300,1200,0.6340000E-3,11024
400,1200,0.7320000E-3,11094
500,1200,0.8270000E-3,11081
600,1200,0.9300000E-3,11278
700,1200,0.1092000E-2,11363
800,1200,0.1134000E-2,11403
900,1200,0.1286000E-2,11391
1000,1200,0.1342000E-2,11449
1100,1200,0.1377000E-2,11448
1200,1200,0.1379000E-2,11448
1300,1200,0.1433000E-2,11448
1400,1200,0.1453000E-2,11448
1500,1200,0.1480000E-2,11448
1600,1200,0.1517000E-2,11448
1700,1200,0.1565000E-2,11448
1800,1200,0.1658000E-2,11448
1900,1200,0.1694000E-2,11448
2000,1200,0.2590000E-2,11448
2100,1200,0.2258000E-2,11448
20,1300,0.3110000E-3,10889
30,1300,0.3610000E-3,10869
40,1300,0.3340000E-3,10928
50,1300,0.3480000E-3,10943
60,1300,0.3760000E-3,10878
70,1300,0.3940000E-3,10912
80,1300,0.3770000E-3,10938
90,1300,0.3800000E-3,10931
100,1300,0.4130000E-3,10946
200,1300,0.5160000E-3,10998
300,1300,0.6330000E-3,11024
400,1300,0.7360000E-3,11094
500,1300,0.8760000E-3,11081
600,1300,0.9870000E-3,11278
700,1300,0.1062000E-2,11363
800,1300,0.1145000E-2,11403
900,1300,0.1266000E-2,11391
1000,1300,0.1366000E-2,11449
1100,1300,0.1390000E-2,11448
1200,1300,0.1436000E-2,11448
1300,1300,0.1452000E-2,11448
1400,1300,0.1528000E-2,11448
1500,1300,0.1552000E-2,11448
1600,1300,0.1576000E-2,11448
1700,1300,0.1611000E-2,11448
1800,1300,0.1681000E-2,11448
1900,1300,0.1786000E-2,11448
2000,1300,0.2809000E-2,11448
2100,1300,0.2439000E-2,11448
20,1400,0.3080000E-3,10889
30,1400,0.3150000E-3,10869
40,1400,0.3360000E-3,10928
50,1400,0.3870000E-3,10943
60,1400,0.3950000E-3,10878
70,1400,0.3730000E-3,10912
80,1400,0.3880000E-3,10938
90,1400,0.4010000E-3,10931
100,1400,0.4150000E-3,10946
200,1400,0.5420000E-3,10998
300,1400,0.6330000E-3,11024
400,1400,0.7430000E-3,11094
500,1400,0.8420000E-3,11081
600,1400,0.9490000E-3,11278
700,1400,0.1067000E-2,11363
800,1400,0.1160000E-2,11403
900,1400,0.1272000E-2,11391
1000,1400,0.1397000E-2,11449
1100,1400,0.1419000E-2,11448
1200,1400,0.1455000E-2,11448
1300,1400,0.1567000E-2,11448
1400,1400,0.1591000E-2,11448
1500,1400,0.1563000E-2,11448
1600,1400,0.1634000E-2,11448
1700,1400,0.1649000E-2,11448
1800,1400,0.1716000E-2,11448
1900,1400,0.1854000E-2,11448
2000,1400,0.3108000E-2,11448
2100,1400,0.2523000E-2,11448
20,1500,0.3120000E-3,10889
30,1500,0.3180000E-3,10869
40,1500,0.3260000E-3,10928
50,1500,0.3400000E-3,10943
60,1500,0.3390000E-3,10878
70,1500,0.3620000E-3,10912
80,1500,0.3710000E-3,10938
90,1500,0.3990000E-3,10931
100,1500,0.4060000E-3,10946
200,1500,0.5270000E-3,10998
300,1500,0.6510000E-3,11024
400,1500,0.7450000E-3,11094
500,1500,0.8660000E-3,11081
600,1500,0.1018000E-2,11278
700,1500,0.1096000E-2,11363
800,1500,0.1190000E-2,11403
900,1500,0.1323000E-2,11391
1000,1500,0.1455000E-2,11449
1100,1500,0.1457000E-2,11448
1200,1500,0.1497000E-2,11448
1300,1500,0.1511000E-2,11448
1400,1500,0.1562000E-2,11448
1500,1500,0.1601000E-2,11448
1600,1500,0.1620000E-2,11448
1700,1500,0.1671000E-2,11448
1800,1500,0.1742000E-2,11448
1900,1500,0.1976000E-2,11448
2000,1500,0.3202000E-2,11448
2100,1500,0.2536000E-2,11448
20,1600,0.3180000E-3,10889
30,1600,0.3260000E-3,10869
40,1600,0.3540000E-3,10928
50,1600,0.3840000E-3,10943
60,1600,0.3770000E-3,10878
70,1600,0.3610000E-3,10912
80,1600,0.3960000E-3,10938
90,1600,0.4010000E-3,10931
100,1600,0.4120000E-3,10946
200,1600,0.5420000E-3,10998
300,1600,0.6550000E-3,11024
400,1600,0.7680000E-3,11094
500,1600,0.9610000E-3,11081
600,1600,0.1026000E-2,11278
700,1600,0.1132000E-2,11363
800,1600,0.1215000E-2,11403
900,1600,0.1339000E-2,11391
1000,1600,0.1451000E-2,11449
1100,1600,0.1543000E-2,11448
1200,1600,0.1530000E-2,11448
1300,1600,0.1545000E-2,11448
1400,1600,0.1615000E-2,11448
1500,1600,0.1970000E-2,11448
1600,1600,0.2056000E-2,11448
1700,1600,0.1977000E-2,11448
1800,1600,0.1890000E-2,11448
1900,1600,0.2068000E-2,11448
2000,1600,0.3634000E-2,11448
2100,1600,0.2687000E-2,11448
20,1700,0.4320000E-3,10889
30,1700,0.3840000E-3,10869
40,1700,0.3460000E-3,10928
50,1700,0.3780000E-3,10943
60,1700,0.3710000E-3,10878
70,1700,0.4310000E-3,10912
80,1700,0.4120000E-3,10938
90,1700,0.4240000E-3,10931
100,1700,0.4130000E-3,10946
200,1700,0.5460000E-3,10998
300,1700,0.6820000E-3,11024
400,1700,0.7940000E-3,11094
500,1700,0.1133000E-2,11081
600,1700,0.1095000E-2,11278
700,1700,0.1164000E-2,11363
800,1700,0.1239000E-2,11403
900,1700,0.1343000E-2,11391
1000,1700,0.1677000E-2,11449
1100,1700,0.1542000E-2,11448
1200,1700,0.1543000E-2,11448
1300,1700,0.1595000E-2,11448
1400,1700,0.1656000E-2,11448
1500,1700,0.1657000E-2,11448
1600,1700,0.1703000E-2,11448
1700,1700,0.1744000E-2,11448
1800,1700,0.1825000E-2,11448
1900,1700,0.2026000E-2,11448
2000,1700,0.3777000E-2,11448
2100,1700,0.2870000E-2,11448
20,1800,0.3400000E-3,10889
30,1800,0.3330000E-3,10869
40,1800,0.3400000E-3,10928
50,1800,0.3490000E-3,10943
60,1800,0.3820000E-3,10878
70,1800,0.3820000E-3,10912
80,1800,0.3870000E-3,10938
90,1800,0.4170000E-3,10931
100,1800,0.4180000E-3,10946
200,1800,0.5610000E-3,10998
300,1800,0.6780000E-3,11024
400,1800,0.8300000E-3,11094
500,1800,0.9520000E-3,11081
600,1800,0.1082000E-2,11278
700,1800,0.1191000E-2,11363
800,1800,0.1290000E-2,11403
900,1800,0.1371000E-2,11391
1000,1800,0.1499000E-2,11449
1100,1800,0.1533000E-2,11448
1200,1800,0.1585000E-2,11448
1300,1800,0.1630000E-2,11448
1400,1800,0.1676000E-2,11448
1500,1800,0.1726000E-2,11448
1600,1800,0.1798000E-2,11448
1700,1800,0.2039000E-2,11448
1800,1800,0.1891000E-2,11448
1900,1800,0.2059000E-2,11448
2000,1800,0.3870000E-2,11448
2100,1800,0.2984000E-2,11448
20,1900,0.3960000E-3,10889
30,1900,0.3230000E-3,10869
40,1900,0.3420000E-3,10928
50,1900,0.3780000E-3,10943
60,1900,0.3510000E-3,10878
70,1900,0.3770000E-3,10912
80,1900,0.4350000E-3,10938
90,1900,0.4190000E-3,10931
100,1900,0.4220000E-3,10946
200,1900,0.5860000E-3,10998
300,1900,0.7110000E-3,11024
400,1900,0.8590000E-3,11094
500,1900,0.9380000E-3,11081
600,1900,0.1056000E-2,11278
700,1900,0.1150000E-2,11363
800,1900,0.1288000E-2,11403
900,1900,0.1400000E-2,11391
1000,1900,0.1559000E-2,11449
1100,1900,0.1630000E-2,11448
1200,1900,0.1657000E-2,11448
1300,1900,0.1669000E-2,11448
1400,1900,0.1718000E-2,11448
1500,1900,0.1758000E-2,11448
1600,1900,0.1785000E-2,11448
1700,1900,0.1845000E-2,11448
1800,1900,0.1910000E-2,11448
1900,1900,0.2245000E-2,11448
2000,1900,0.3944000E-2,11448
2100,1900,0.2969000E-2,11448
20,2000,0.3300000E-3,10889
30,2000,0.3260000E-3,10869
40,2000,0.3350000E-3,10928
50,2000,0.3420000E-3,10943
60,2000,0.3790000E-3,10878
70,2000,0.4330000E-3,10912
80,2000,0.3800000E-3,10938
90,2000,0.4480000E-3,10931
100,2000,0.3970000E-3,10946
200,2000,0.5890000E-3,10998
300,2000,0.7020000E-3,11024
400,2000,0.8360000E-3,11094
500,2000,0.9780000E-3,11081
600,2000,0.1088000E-2,11278
700,2000,0.1189000E-2,11363
800,2000,0.1296000E-2,11403
900,2000,0.1418000E-2,11391
1000,2000,0.1542000E-2,11449
1100,2000,0.1606000E-2,11448
1200,2000,0.1648000E-2,11448
1300,2000,0.1681000E-2,11448
1400,2000,0.1794000E-2,11448
1500,2000,0.1901000E-2,11448
1600,2000,0.1882000E-2,11448
1700,2000,0.1907000E-2,11448
1800,2000,0.1973000E-2,11448
1900,2000,0.2268000E-2,11448
2000,2000,0.4113000E-2,11448
2100,2000,0.3456000E-2,11448
100,20,0.6320000E-3,11133
100,30,0.5810000E-3,10963
100,40,0.3770000E-3,10946
100,50,0.3700000E-3,10946
100,60,0.3680000E-3,10946
100,70,0.3700000E-3,10946
100,80,0.3590000E-3,10946
100,90,0.3830000E-3,10946
100,100,0.3770000E-3,10946
100,200,0.3580000E-3,10946
100,300,0.3740000E-3,10946
100,400,0.4150000E-3,10946
100,500,0.3810000E-3,10946
100,600,0.3900000E-3,10946
100,700,0.4100000E-3,10946
100,800,0.3940000E-3,10946
100,900,0.4300000E-3,10946
100,1000,0.3950000E-3,10946
100,1100,0.4130000E-3,10946
100,1200,0.4120000E-3,10946
100,1300,0.4210000E-3,10946
100,1400,0.4220000E-3,10946
100,1500,0.4410000E-3,10946
100,1600,0.4260000E-3,10946
100,1700,0.4220000E-3,10946
100,1800,0.4150000E-3,10946
100,1900,0.4140000E-3,10946
100,2000,0.4250000E-3,10946
100,2100,0.4320000E-3,10946
200,20,0.6340000E-3,10984
200,30,0.4550000E-3,10998
200,40,0.4330000E-3,10998
200,50,0.4320000E-3,10998
200,60,0.4470000E-3,10998
200,70,0.4430000E-3,10998
200,80,0.4710000E-3,10998
200,90,0.4530000E-3,10998
200,100,0.4540000E-3,10998
200,200,0.4510000E-3,10998
200,300,0.4880000E-3,10998
200,400,0.6010000E-3,10998
200,500,0.5390000E-3,10998
200,600,0.4810000E-3,10998
200,700,0.4760000E-3,10998
200,800,0.5090000E-3,10998
200,900,0.4930000E-3,10998
200,1000,0.5200000E-3,10998
200,1100,0.5050000E-3,10998
200,1200,0.4940000E-3,10998
200,1300,0.5130000E-3,10998
200,1400,0.5180000E-3,10998
200,1500,0.5140000E-3,10998
200,1600,0.5620000E-3,10998
200,1700,0.5370000E-3,10998
200,1800,0.5400000E-3,10998
200,1900,0.5340000E-3,10998
200,2000,0.5430000E-3,10998
200,2100,0.5790000E-3,10998
300,20,0.5200000E-3,11024
300,30,0.5210000E-3,11024
300,40,0.5350000E-3,11024
300,50,0.5040000E-3,11024
300,60,0.5500000E-3,11024
300,70,0.4800000E-3,11024
300,80,0.4990000E-3,11024
300,90,0.5150000E-3,11024
300,100,0.5230000E-3,11024
300,200,0.5710000E-3,11024
300,300,0.5360000E-3,11024
300,400,0.5430000E-3,11024
300,500,0.5670000E-3,11024
300,600,0.5980000E-3,11024
300,700,0.5830000E-3,11024
300,800,0.5800000E-3,11024
300,900,0.5760000E-3,11024
300,1000,0.5970000E-3,11024
300,1100,0.5970000E-3,11024
300,1200,0.6620000E-3,11024
300,1300,0.6590000E-3,11024
300,1400,0.6580000E-3,11024
300,1500,0.6500000E-3,11024
300,1600,0.6600000E-3,11024
300,1700,0.6700000E-3,11024
300,1800,0.6760000E-3,11024
300,1900,0.6840000E-3,11024
300,2000,0.6990000E-3,11024
300,2100,0.7040000E-3,11024
400,20,0.6130000E-3,11094
400,30,0.5950000E-3,11094
400,40,0.6030000E-3,11094
400,50,0.5810000E-3,11094
400,60,0.5700000E-3,11094
400,70,0.5960000E-3,11094
400,80,0.5890000E-3,11094
400,90,0.5970000E-3,11094
400,100,0.5690000E-3,11094
400,200,0.6320000E-3,11094
400,300,0.6240000E-3,11094
400,400,0.6290000E-3,11094
400,500,0.6220000E-3,11094
400,600,0.6500000E-3,11094
400,700,0.6570000E-3,11094
400,800,0.6830000E-3,11094
400,900,0.6740000E-3,11094
400,1000,0.6880000E-3,11094
400,1100,0.7380000E-3,11094
400,1200,0.7270000E-3,11094
400,1300,0.7290000E-3,11094
400,1400,0.7680000E-3,11094
400,1500,0.7360000E-3,11094
400,1600,0.7470000E-3,11094
400,1700,0.7750000E-3,11094
400,1800,0.7720000E-3,11094
400,1900,0.7610000E-3,11094
400,2000,0.7740000E-3,11094
400,2100,0.8070000E-3,11094
500,20,0.6780000E-3,11081
500,30,0.6590000E-3,11081
500,40,0.6600000E-3,11081
500,50,0.6570000E-3,11081
500,60,0.6640000E-3,11081
500,70,0.6640000E-3,11081
500,80,0.6660000E-3,11081
500,90,0.7070000E-3,11081
500,100,0.6750000E-3,11081
500,200,0.7030000E-3,11081
500,300,0.7240000E-3,11081
500,400,0.7160000E-3,11081
500,500,0.7300000E-3,11081
500,600,0.7460000E-3,11081
500,700,0.7560000E-3,11081
500,800,0.8180000E-3,11081
500,900,0.7810000E-3,11081
500,1000,0.7920000E-3,11081
500,1100,0.8090000E-3,11081
500,1200,0.8180000E-3,11081
500,1300,0.8390000E-3,11081
500,1400,0.8400000E-3,11081
500,1500,0.8480000E-3,11081
500,1600,0.9350000E-3,11081
500,1700,0.9230000E-3,11081
500,1800,0.9620000E-3,11081
500,1900,0.9440000E-3,11081
500,2000,0.9190000E-3,11081
500,2100,0.9530000E-3,11081
600,20,0.7490000E-3,11278
600,30,0.7500000E-3,11278
600,40,0.7340000E-3,11278
600,50,0.7370000E-3,11278
600,60,0.7490000E-3,11278
600,70,0.7430000E-3,11278
600,80,0.7440000E-3,11278
600,90,0.7360000E-3,11278
600,100,0.7550000E-3,11278
600,200,0.7840000E-3,11278
600,300,0.7890000E-3,11278
600,400,0.8230000E-3,11278
600,500,0.8060000E-3,11278
600,600,0.8270000E-3,11278
600,700,0.8400000E-3,11278
600,800,0.8420000E-3,11278
600,900,0.8650000E-3,11278
600,1000,0.9000000E-3,11278
600,1100,0.9060000E-3,11278
600,1200,0.9180000E-3,11278
600,1300,0.9220000E-3,11278
600,1400,0.9760000E-3,11278
600,1500,0.9680000E-3,11278
600,1600,0.9780000E-3,11278
600,1700,0.9790000E-3,11278
600,1800,0.1087000E-2,11278
600,1900,0.1061000E-2,11278
600,2000,0.1049000E-2,11278
600,2100,0.1047000E-2,11278
700,20,0.8040000E-3,11363
700,30,0.8280000E-3,11363
700,40,0.8130000E-3,11363
700,50,0.8350000E-3,11363
700,60,0.8380000E-3,11363
700,70,0.8240000E-3,11363
700,80,0.8100000E-3,11363
700,90,0.8250000E-3,11363
700,100,0.8320000E-3,11363
700,200,0.8380000E-3,11363
700,300,0.8730000E-3,11363
700,400,0.9020000E-3,11363
700,500,0.8710000E-3,11363
700,600,0.9800000E-3,11363
700,700,0.9320000E-3,11363
700,800,0.9740000E-3,11363
700,900,0.9630000E-3,11363
700,1000,0.9650000E-3,11363
700,1100,0.9940000E-3,11363
700,1200,0.1058000E-2,11363
700,1300,0.1024000E-2,11363
700,1400,0.1044000E-2,11363
700,1500,0.1070000E-2,11363
700,1600,0.1083000E-2,11363
700,1700,0.1118000E-2,11363
700,1800,0.1182000E-2,11363
700,1900,0.1137000E-2,11363
700,2000,0.1153000E-2,11363
700,2100,0.1169000E-2,11363
800,20,0.8810000E-3,11403
800,30,0.8820000E-3,11403
800,40,0.8830000E-3,11403
800,50,0.9000000E-3,11403
800,60,0.8820000E-3,11403
800,70,0.8850000E-3,11403
800,80,0.8960000E-3,11403
800,90,0.9020000E-3,11403
800,100,0.8950000E-3,11403
800,200,0.9190000E-3,11403
800,300,0.9820000E-3,11403
800,400,0.9680000E-3,11403
800,500,0.9830000E-3,11403
800,600,0.9970000E-3,11403
800,700,0.1021000E-2,11403
800,800,0.1043000E-2,11403
800,900,0.1057000E-2,11403
800,1000,0.1061000E-2,11403
800,1100,0.1100000E-2,11403
800,1200,0.1106000E-2,11403
800,1300,0.1134000E-2,11403
800,1400,0.1150000E-2,11403
800,1500,0.1163000E-2,11403
800,1600,0.1243000E-2,11403
800,1700,0.1208000E-2,11403
800,1800,0.1225000E-2,11403
800,1900,0.1256000E-2,11403
800,2000,0.1269000E-2,11403
800,2100,0.1293000E-2,11403
900,20,0.9690000E-3,11391
900,30,0.9600000E-3,11391
900,40,0.9590000E-3,11391
900,50,0.9640000E-3,11391
900,60,0.9590000E-3,11391
900,70,0.9660000E-3,11391
900,80,0.9610000E-3,11391
900,90,0.1032000E-2,11391
900,100,0.9700000E-3,11391
900,200,0.9820000E-3,11391
900,300,0.1012000E-2,11391
900,400,0.1047000E-2,11391
900,500,0.1060000E-2,11391
900,600,0.1088000E-2,11391
900,700,0.1111000E-2,11391
900,800,0.1128000E-2,11391
900,900,0.1153000E-2,11391
900,1000,0.1171000E-2,11391
900,1100,0.1201000E-2,11391
