initM,initL,Matrix Time,Count
1300,700,0.1075000E-2,11454
1400,700,0.1144000E-2,11454
1500,700,0.1147000E-2,11454
1600,700,0.1190000E-2,11454
1700,700,0.1232000E-2,11454
1800,700,0.1206000E-2,11454
1900,700,0.1699000E-2,11454
2000,700,0.1636000E-2,11454
2100,700,0.1469000E-2,11454
20,800,0.2730000E-3,10890
30,800,0.2680000E-3,10885
40,800,0.2850000E-3,10916
50,800,0.2860000E-3,10908
60,800,0.2970000E-3,10847
70,800,0.3220000E-3,10939
80,800,0.3110000E-3,10957
90,800,0.3310000E-3,10923
100,800,0.3220000E-3,10938
200,800,0.4270000E-3,10948
300,800,0.5000000E-3,11089
400,800,0.5850000E-3,11121
500,800,0.6840000E-3,11103
600,800,0.7310000E-3,11269
700,800,0.8810000E-3,11382
800,800,0.8950000E-3,11444
900,800,0.9810000E-3,11472
1000,800,0.1060000E-2,11454
1100,800,0.1074000E-2,11454
1200,800,0.1096000E-2,11454
1300,800,0.1130000E-2,11454
1400,800,0.1129000E-2,11454
1500,800,0.1141000E-2,11454
1600,800,0.1191000E-2,11454
1700,800,0.1245000E-2,11454
1800,800,0.1233000E-2,11454
1900,800,0.1633000E-2,11454
2000,800,0.1765000E-2,11454
2100,800,0.1754000E-2,11454
20,900,0.2710000E-3,10890
30,900,0.2610000E-3,10885
40,900,0.2890000E-3,10916
50,900,0.2880000E-3,10908
60,900,0.3020000E-3,10847
70,900,0.3150000E-3,10939
80,900,0.3220000E-3,10957
90,900,0.3440000E-3,10923
100,900,0.3490000E-3,10938
200,900,0.4180000E-3,10948
300,900,0.5360000E-3,11089
400,900,0.5980000E-3,11121
500,900,0.6800000E-3,11103
600,900,0.7570000E-3,11269
700,900,0.8470000E-3,11382
800,900,0.9270000E-3,11444
900,900,0.1012000E-2,11472
1000,900,0.1160000E-2,11454
1100,900,0.1128000E-2,11454
1200,900,0.1130000E-2,11454
1300,900,0.1141000E-2,11454
1400,900,0.1159000E-2,11454
1500,900,0.1189000E-2,11454
1600,900,0.1217000E-2,11454
1700,900,0.1303000E-2,11454
1800,900,0.1333000E-2,11454
1900,900,0.2037000E-2,11454
2000,900,0.1780000E-2,11454
2100,900,0.1930000E-2,11454
20,1000,0.2760000E-3,10890
30,1000,0.2830000E-3,10885
40,1000,0.2900000E-3,10916
50,1000,0.3100000E-3,10908
60,1000,0.3070000E-3,10847
70,1000,0.3040000E-3,10939
80,1000,0.3180000E-3,10957
90,1000,0.3340000E-3,10923
100,1000,0.3310000E-3,10938
200,1000,0.4520000E-3,10948
300,1000,0.5240000E-3,11089
400,1000,0.5980000E-3,11121
500,1000,0.6930000E-3,11103
600,1000,0.7690000E-3,11269
700,1000,0.8630000E-3,11382
800,1000,0.9370000E-3,11444
900,1000,0.1029000E-2,11472
